AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
kotak mahindra mutual fund,Kotak Gilt Investment Regular-G,3,3,1.53%,92.22,9.25%,5.71%,Rs.100.0,Abhishek Bisen,3643.14 cr,Debt,Moderate
kotak mahindra mutual fund,Kotak Healthcare Reg-G,0,0,9.27%,13.97,0,0,Rs.100.0,Abhishek Bisen,374.57 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Nifty Midcap 50 Index Reg-G,0,0,0,10.37,0,0,Rs.100.0,Abhishek Bisen,41.57 cr,Other,Very High
kotak mahindra mutual fund,Kotak NIFTY 100Low Volatility 30 Index Reg-G,0,0,6.76%,11.29,0,0,Rs.100.0,Abhishek Bisen,43.84 cr,Other,Very High
kotak mahindra mutual fund,Kotak Technology Reg-G,0,0,10.78%,12.89,0,0,Rs.100.0,Abhishek Bisen,535.33 cr,Equity,Very High
kotak mahindra mutual fund,Kotak All Weather Debt FOF Reg-G,0,0,1.42%,11.62,9.46%,0,Rs.100.0,Abhishek Bisen,54.95 cr,Other,Moderately High
kotak mahindra mutual fund,Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60,0,0,0.70%,11.55,8.15%,0,Rs.100.0,Abhishek Bisen,575.76 cr,Other,Moderate
kotak mahindra mutual fund,Kotak Equity Savings Reg-G,4,5,2.39%,25.53,20.39%,12.76%,Rs.100.0,Abhishek Bisen,7114.71 cr,Hybrid,Moderately High
kotak mahindra mutual fund,Kotak Multi Asset Allocation Fund Reg-G,0,0,3.86%,13.12,0,0,Rs.100.0,Abhishek Bisen,7280.22 cr,Hybrid,Very High
kotak mahindra mutual fund,Kotak BSE PSU Index Reg-G,0,0,1.59%,9.22,0,0,Rs.100.0,Abhishek Bisen,75.71 cr,Other,Low
kotak mahindra mutual fund,Kotak Nifty 50 Index Reg-G,0,2,5.06%,16.37,26.97%,14.08%,Rs.100.0,Abhishek Bisen,751.07 cr,Other,Very High
kotak mahindra mutual fund,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight,0,0,0.62%,11.51,8.15%,0,Rs.100.0,Abhishek Bisen,8093.36 cr,Other,Low to Moderate
kotak mahindra mutual fund,Kotak Consumption Reg-G,0,0,9.00%,14.52,0,0,Rs.100.0,Abhishek Bisen,899.09 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Nifty SDL Jul 2028 Index Reg-G,0,0,0,10.45,0,0,Rs.100.0,Abhishek Bisen,9.36 cr,Other,Moderate
kotak mahindra mutual fund,Kotak Nifty Smallcap 50 Index Reg-G,0,0,9.77%,21.65,60.84%,0,Rs.100.0,Abhishek Bisen,91.58 cr,Other,Very High
kotak mahindra mutual fund,Kotak Banking & Financial Services Reg-G,0,0,5.71%,14.41,22.63%,0,Rs.100.0,Abhishek Bisen,948.82 cr,Equity,Very High
kotak mahindra mutual fund,Kotak CRISIL IBX AAA Financial Services Index,0,0,0,0,0,0,Rs.100.0,Abhishek Bisen,#0ME?,Other,Very High
kotak mahindra mutual fund,Kotak Quant Reg-G,0,0,4.97%,16,55.65%,0,Rs.500.0,Abhishek Bisen,898.74 cr,Equity,Very High
mirae asset mutual fund,Mirae Asset Liquid-G,3,4,0.58%,2592.72,7.34%,6%,Rs.500.0,Abhishek Iyer,12648.37 cr,Debt,Low to Moderate
mirae asset mutual fund,Mirae Asset Overnight Reg-G,0,4,0.54%,1259.04,6.74%,5.63%,Rs.500.0,Abhishek Iyer,616.04 cr,Debt,Low
tata mutual fund,Tata Corporate Bond Fund Reg-G,0,4,0.81%,11.61,7.94%,0,Rs.150.0,Abhishek Sonthalia,1778.93 cr,Debt,Moderate
motilal oswal mutual fund,Motilal Oswal ELSS Tax Saver Reg-G,4,4,9.28%,54.55,66.25%,25.68%,Rs.500.0,Aditya Khemani,3983.77 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Large and Midcap Reg-G,4,5,9.15%,33.62,59.53%,25.94%,Rs.500.0,Aditya Khemani,5810.75 cr,Equity,Very High
navi mutual fund,Navi Nifty IT Index Reg-G,0,0,10.82%,12.44,0,0,Rs.10.0,Aditya Mulki,11.14 cr,Other,Very High
navi mutual fund,Navi BSE Sensex Index Reg-G,0,0,4.95%,12.6,22.95%,0,Rs.10.0,Aditya Mulki,11.71 cr,Other,Very High
navi mutual fund,Navi Aggressive Hybrid Reg-G,2,2,5.15%,20.84,24.79%,13.81%,Rs.10.0,Aditya Mulki,111.92 cr,Hybrid,Very High
navi mutual fund,Navi Nifty 500 Multicap 50:25:25 Index Reg-G,0,0,5.62%,10.29,0,0,Rs.10.0,Aditya Mulki,15.25 cr,Other,Very High
navi mutual fund,Navi Nifty Midcap 150 Index Reg-G,0,0,5.40%,20.49,46.09%,0,Rs.10.0,Aditya Mulki,203.07 cr,Other,Very High
navi mutual fund,Navi Nifty 50 Index Reg-G,0,3,5.06%,16.3,27.25%,14.31%,Rs.10.0,Aditya Mulki,2448.7 cr,Other,Very High
navi mutual fund,Navi Flexi Cap Reg-G,0,2,4.88%,24.08,26.42%,15.30%,Rs.10.0,Aditya Mulki,278.85 cr,Equity,Very High
navi mutual fund,Navi Large & Midcap-G,1,1,5.76%,37.11,28.66%,16.32%,Rs.10.0,Aditya Mulki,328.75 cr,Equity,High 
navi mutual fund,Navi Conservative Hybrid Reg-G,2,2,1.37%,26.27,10.06%,6.03%,Rs.10.0,Aditya Mulki,35.75 cr,Hybrid,Moderate
navi mutual fund,Navi Nifty India Manufacturing Index Reg-G,0,0,3.83%,18.01,52.32%,0,Rs.10.0,Aditya Mulki,49.54 cr,Other,Very High
navi mutual fund,Navi Nifty Bank Index Reg-G,0,0,4.13%,13.32,13.01%,0,Rs.10.0,Aditya Mulki,511.44 cr,Other,Very High
navi mutual fund,Navi Nifty Next 50 Index Reg-G,0,0,5.34%,17.55,64.49%,0,Rs.10.0,Aditya Mulki,603.6 cr,Other,Very High
navi mutual fund,Navi US Total Stock Market FoF Reg-G,0,0,4.77%,14.6,26.98%,0,Rs.10.0,Aditya Mulki,944.8 cr,Other,Very High
navi mutual fund,Navi NASDAQ 100 FoF Reg-G,0,0,4.80%,14.51,28.85%,0,Rs.10.0,Aditya Mulki,960.5 cr,Other,Very High
navi mutual fund,Navi ELSS Tax Saver-G,1,0,4.93%,30.6,27.84%,15.02%,Rs.500.0,Aditya Mulki,67.26 cr,Equity,Very High
navi mutual fund,Navi ELSS Tax Saver Nifty 50 Index Reg-G,0,0,4.99%,14.9,25.89%,0,Rs.500.0,Aditya Mulki,67.27 cr,Other,Very High
axis mutual fund,Axis Floater Reg-G,4,1,1.38%,1220.55,9.70%,6.63%,Rs.100.0,Aditya Pagaria,259.41 cr,Debt,Moderate
axis mutual fund,Axis Gold Reg-G,0,5,3.51%,21.78,22.78%,14.61%,Rs.100.0,Aditya Pagaria,555.96 cr,Other,High
axis mutual fund,Axis Banking & PSU Debt-G,4,4,0.68%,2470.27,7.25%,5.45%,Rs.1000.0,Aditya Pagaria,13282.68 cr,Debt,Moderate
axis mutual fund,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 E,0,0,0.30%,11.52,7.40%,0,Rs.1000.0,Aditya Pagaria,284.96 cr,Other,Low to Moderate
axis mutual fund,Axis Silver FoF Reg-G,0,0,5.27%,15.04,19.27%,0,Rs.1000.0,Aditya Pagaria,51.0 cr,Other,Very High
axis mutual fund,Axis Ultra Short Term Reg-G,3,3,0.54%,13.93,6.82%,5.47%,Rs.1000.0,Aditya Pagaria,5949.05 cr,Debt,Low to Moderate
axis mutual fund,Axis Overnight Reg-G,0,5,0.54%,1300.89,6.79%,5.67%,Rs.500.0,Aditya Pagaria,7875.74 cr,Debt,Low
franklin templeton mutual fund,Franklin India Focused Equity-G,4,4,5.63%,111.74,36.94%,20.48%,Rs.500.0,Ajay Argal,12740.06 cr,Equity,Moderately High 
franklin templeton mutual fund,Franklin Build India-G,4,3,3.17%,145.29,59.67%,32.42%,Rs.500.0,Ajay Argal,2904.32 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Large Cap Reg-G,0,0,7.68%,12.91,0,0,Rs.500.0,Ajay Khandelwal,1138.53 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Multi Cap Reg-G,0,0,10.90%,12.35,0,0,Rs.500.0,Ajay Khandelwal,1475.77 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Small Cap Reg-G,0,0,5.95%,13.74,0,0,Rs.500.0,Ajay Khandelwal,2363.14 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Quant Reg-G,0,0,5.04%,11.06,0,0,Rs.500.0,Ajay Khandelwal,30.84 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Manufacturing Reg-G,0,0,0,10.9,0,0,Rs.500.0,Ajay Khandelwal,588.95 cr,Equity,Very High
motilal oswal mutual fund,Motilal Oswal Business Cycle Reg-G,0,0,0,11.07,0,0,Rs.500.0,Ajay Khandelwal,783.31 cr,Equity,Very High
uti mutual fund,UTI Flexi Cap Reg-G,0,1,8.05%,333.47,27.89%,8.18%,Rs.500.0,Ajay Tyagi,27053.06 cr,Equity,Very High
tata mutual fund,Tata GRP280225-G,0,0,1.02%,33.68,8.18%,5.59%,0,Akhil Mittal,763.15 cr,Debt,Moderate
tata mutual fund,Tata Floating Rate Reg-G,3,4,0.67%,11.96,7.27%,5.88%,Rs.500.0,Akhil Mittal,197.11 cr,Debt,Low to Moderate
tata mutual fund,Tata Treasury Advantage Reg-G,4,4,0.57%,3701.9,7.17%,5.68%,Rs.500.0,Akhil Mittal,2641.14 cr,Debt,Low to Moderate
tata mutual fund,Tata Ultra Short Term Fund Reg-G,3,2,0.54%,13.4,6.79%,5.43%,Rs.500.0,Akhil Mittal,2733.78 cr,Debt,Low to Moderate
tata mutual fund,Tata GSF Reg-G,3,3,1.02%,73.84,8.18%,5.54%,Rs.500.0,Akhil Mittal,763.15 cr,Debt,Moderate
lic mutual fund,LIC MF Value Reg-G,1,2,6.88%,26.48,42.83%,19.12%,Rs.1000.0,Alok Ranjan,126.94 cr,Equity,High 
lic mutual fund,LIC MF Focused Reg-G,2,3,6.96%,22.88,31.50%,15.02%,Rs.1000.0,Alok Ranjan,152.71 cr,Equity,Very High
lic mutual fund,LIC MF Midcap Reg-G,2,1,4.70%,30.83,53.11%,20.62%,Rs.1000.0,Alok Ranjan,328.26 cr,Equity,High 
lic mutual fund,LIC MF Small Cap Reg-G,3,3,6.78%,34.03,56.19%,28.26%,Rs.1000.0,Alok Ranjan,348.02 cr,Equity,Very High 
lic mutual fund,LIC MF Dividend Yield Reg-G,0,0,6.34%,32.24,59.61%,24.30%,Rs.1000.0,Alok Ranjan,391.61 cr,Equity,Low toModerate 
lic mutual fund,LIC MF Healthcare Reg-G,0,1,8.89%,29.94,55.38%,14.38%,Rs.1000.0,Alok Ranjan,71.64 cr,Equity,Very High
bank of india mutual fund,Bank of India Balanced Advantage Reg-G,2,2,2.70%,25.31,22.28%,15.38%,Rs.1000.0,Alok Singh,139.94 cr,Hybrid,Very High
bank of india mutual fund,Bank of India Flexi Cap Reg-G,0,4,4.05%,36.76,55.30%,24.30%,Rs.1000.0,Alok Singh,1834.57 cr,Equity,Moderate 
bank of india mutual fund,Bank of India Arbitrage Reg-G,0,1,0.50%,13.13,6.91%,4.93%,Rs.1000.0,Alok Singh,35.68 cr,Hybrid,Low
bank of india mutual fund,Bank of India Multi Asset Allocation Reg-G,0,0,2.19%,11.02,0,0,Rs.1000.0,Alok Singh,351.41 cr,Hybrid,High
bank of india mutual fund,Bank of India Business Cycle Reg-G,0,0,0,10.04,0,0,Rs.1000.0,Alok Singh,563.17 cr,Equity,Very High
bank of india mutual fund,Bank of India Conservative Hybrid Reg-G,4,5,1.00%,33.31,12.21%,13.23%,Rs.1000.0,Alok Singh,65.8 cr,Hybrid,Moderately High
bank of india mutual fund,Bank of India Mid & Small Cap Equity &,5,5,3.46%,39.51,42.48%,19.76%,Rs.1000.0,Alok Singh,978.12 cr,Hybrid,High 
bank of india mutual fund,Bank of India Conservative Hybrid Eco-G,4,0,1.04%,34.37,12.66%,13.48%,Rs.10000.0,Alok Singh,65.8 cr,Hybrid,Moderately High
bank of india mutual fund,Bank of India ELSS Tax Saver Eco-G,5,0,1.98%,186.22,44.59%,19.50%,Rs.500.0,Alok Singh,1487.26 cr,Equity,Moderate 
bank of india mutual fund,Bank of India ELSS Tax Saver Reg-G,5,5,1.96%,172.53,44.23%,19.18%,Rs.500.0,Alok Singh,1487.26 cr,Equity,Moderate 
bank of india mutual fund,Bank of India Credit Risk Reg-G,3,3,0.28%,11.61,6%,39.07%,Rs.5000.0,Alok Singh,115.0 cr,Debt,Moderately High
uti mutual fund,UTI Conservative Hybrid Reg-G,4,4,2.34%,66.75,16.32%,10.01%,Rs.500.0,Amandeep Singh Chopra,1640.72 cr,Hybrid,Moderately High
uti mutual fund,UTI Liquid Discontinued Regular-G,3,0,0.53%,3682.46,6.79%,5.45%,Rs.500.0,Amandeep Singh Chopra,23290.82 cr,Debt,Moderate
uti mutual fund,UTI Liquid Reg-G,4,4,0.57%,4055.46,7.32%,6%,Rs.500.0,Amandeep Singh Chopra,23290.82 cr,Debt,Moderate
uti mutual fund,UTI Medium to Long Duration Reg-G,3,5,1.12%,69.19,8.12%,10.40%,Rs.500.0,Amandeep Singh Chopra,307.07 cr,Debt,Moderate
nippon india mutual fund,Nippon India Consumption-G,3,5,6.88%,217.11,45.54%,24.47%,Rs.100.0,Amar Kalkundrikar,1700.54 cr,Equity,High 
nippon india mutual fund,Nippon India Vision-G,3,3,6.30%,1474.68,46.62%,21.52%,Rs.100.0,Amar Kalkundrikar,5375.02 cr,Equity,High 
tata mutual fund,Tata Banking and Financial Services Reg-G,4,3,7.30%,39.93,21.90%,14.84%,Rs.100.0,Amey Sathe,2302.4 cr,Equity,Very High
tata mutual fund,Tata Large Cap Reg-G,3,3,3.83%,515.8,33.68%,16.15%,Rs.100.0,Amey Sathe,2472.14 cr,Equity,Moderate 
invesco mutual fund,Invesco India Manufacturing Reg-G,0,0,0,10.59,0,0,Rs.500.0,Amit Ganatra,744.06 cr,Equity,Very High
invesco mutual fund,Invesco India Balanced Advantage-G,3,2,3.18%,53.23,26.53%,12.84%,Rs.500.0,Amit Ganatra,865.59 cr,Hybrid,Very High
mahindra manulife mutual fund,Mahindra Manulife Asia Pacific REITs FoF Reg-,0,0,10.39%,9.11,11.88%,0,Rs.500.0,Amit Garg,20.64 cr,Other,Very High
uti mutual fund,UTI Value Reg-G,3,3,6.00%,173.27,45.66%,20.32%,Rs.500.0,Amit Kumar Premchandani,10543.09 cr,Equity,High 
uti mutual fund,UTI Banking and Financial Services Reg-G,2,2,5.35%,174.09,23.30%,14.05%,Rs.500.0,Amit Kumar Premchandani,1150.06 cr,Equity,Very High
uti mutual fund,UTI Dividend Yield Reg-G,3,0,4.23%,186.2,49.94%,20.01%,Rs.500.0,Amit Kumar Premchandani,4460.4 cr,Equity,Low toModerate 
lic mutual fund,LIC MF Flexi Cap-G,0,3,7.16%,106.6,36.14%,16.64%,Rs.1000.0,Amit Nadekar,1108.79 cr,Equity,Moderate 
lic mutual fund,LIC MF ELSS Tax Saver-G,2,2,6.00%,157.64,36.59%,17.07%,Rs.1000.0,Amit Nadekar,1192.26 cr,Equity,Moderate 
invesco mutual fund,Invesco India Largecap-G,4,4,6.12%,70.78,39.91%,17.30%,Rs.100.0,Amit Nigam,1238.12 cr,Equity,Moderate 
invesco mutual fund,Invesco India Infrastructure-G,4,4,4.54%,68.22,66.96%,31.70%,Rs.500.0,Amit Nigam,1659.96 cr,Equity,Very High
invesco mutual fund,Invesco India - Invesco Global Equity Income,0,0,5.64%,25.84,25.70%,14.21%,Rs.500.0,Amit Nigam,23.5 cr,Other,Very High
invesco mutual fund,Invesco India Equity Savings Fund Reg-G,3,3,2.84%,16.67,22.28%,10.05%,Rs.500.0,Amit Nigam,264.46 cr,Hybrid,Moderately High
invesco mutual fund,Invesco India - Invesco Global Consumer Trend,0,0,7.30%,7.85,11.81%,9.03%,Rs.500.0,Amit Nigam,285.74 cr,Other,Very High
invesco mutual fund,Invesco India ELSS Tax Saver -G,3,2,7.09%,131.51,43.43%,17.26%,Rs.500.0,Amit Nigam,2990.74 cr,Equity,Moderate 
invesco mutual fund,Invesco India - Invesco Pan European Equity F,0,0,4.39%,16.82,11.65%,8.19%,Rs.500.0,Amit Nigam,38.38 cr,Other,Very High
invesco mutual fund,Invesco India Multicap-G,3,0,9.44%,138.62,49.54%,20.67%,Rs.500.0,Amit Nigam,3864.96 cr,Equity,High 
invesco mutual fund,Invesco India - Invesco EQQQ NASDAQ-100 ETF F,0,0,3.32%,15.23,27.73%,0,Rs.500.0,Amit Nigam,400.7 cr,Other,Very High
invesco mutual fund,Invesco India Aggressive Hybrid Reg-G,2,3,6.24%,22.65,39.21%,16.31%,Rs.500.0,Amit Nigam,522.02 cr,Hybrid,Moderate 
uti mutual fund,UTI Overnight Reg-G,3,5,0.54%,3341.45,6.76%,5.64%,Rs.500.0,Amit Sharma,3096.95 cr,Debt,Low
tata mutual fund,Tata Banking & PSU Debt Reg-G,3,0,0,13.18,0,0,Rs.150.0,Amit Somani,207.53 cr,Debt,Low to Moderate
tata mutual fund,Tata CRISIL-IBX Gilt Index - April 2026 Index,0,0,0.61%,11.48,7.60%,0,Rs.500.0,Amit Somani,1110.81 cr,Other,Low to Moderate
tata mutual fund,Tata Nifty G-Sec Dec 2026 Index Reg-G,0,0,0.67%,11.23,7.82%,0,Rs.500.0,Amit Somani,117.9 cr,Other,Low to Moderate
tata mutual fund,Tata Nifty G-Sec Dec 2029 Index Reg-G,0,0,0.94%,11.39,8.78%,0,Rs.500.0,Amit Somani,177.86 cr,Other,Moderate
tata mutual fund,Tata Liquid Reg-G,5,3,0.57%,3892.45,7.30%,5.95%,Rs.500.0,Amit Somani,19852.61 cr,Debt,Low to Moderate
tata mutual fund,Tata Money Market Reg-G,4,4,0.59%,4443.64,7.61%,6.21%,Rs.500.0,Amit Somani,27628.33 cr,Debt,Low to Moderate
tata mutual fund,Tata Overnight Reg-G,0,3,0.53%,1293.58,6.70%,5.58%,Rs.500.0,Amit Somani,4941.57 cr,Debt,Low
tata mutual fund,Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:,0,0,0.71%,11.6,8.11%,0,Rs.500.0,Amit Somani,866.54 cr,Other,Low to Moderate
nippon india mutual fund,Nippon India Annual Interval Series I Inst-G,0,0,0.64%,25.48,7.24%,5.92%,0,Amit Tripathi,2.86 cr,Debt,Low
nippon india mutual fund,Nippon India Annual Interval Series I Retail-,0,0,0.62%,34.25,7.07%,5.80%,Rs.5000.0,Amit Tripathi,2.86 cr,Debt,Low
edelweiss mutual fund,Edelweiss Multi Cap Reg-G,0,0,6.91%,15.59,0,0,Rs.100.0,Amit Vora,2396.22 cr,Equity,Very High
edelweiss mutual fund,Edelweiss Technology Reg-G,0,0,8.33%,12.13,0,0,Rs.100.0,Amit Vora,634.05 cr,Equity,Very High
hdfc mutual fund,HDFC Banking & Financial Services Reg-G,3,4,7.10%,16,22.96%,14.73%,Rs.100.0,Anand Laddha,3618.22 cr,Equity,Very High
franklin templeton mutual fund,Franklin India Flexi Cap-G,0,4,5.60%,1676.01,41.26%,22.05%,Rs.500.0,Anand Radhakrishnan,17842.8 cr,Equity,Moderate 
franklin templeton mutual fund,Franklin India Technology-G,0,0,8.00%,559.01,50.56%,17.24%,Rs.500.0,Anand Radhakrishnan,1892.47 cr,Equity,High 
franklin templeton mutual fund,Franklin India Equity Hybrid-G,3,4,3.47%,268.8,29.71%,15.18%,Rs.500.0,Anand Radhakrishnan,2029.67 cr,Hybrid,Very High
franklin templeton mutual fund,Franklin India Debt Hybrid A-G,4,3,1.65%,86.57,14.49%,8.50%,Rs.500.0,Anand Radhakrishnan,206.55 cr,Hybrid,Moderately High
franklin templeton mutual fund,Franklin India Debt Hybrid A-G Plan B,0,3,1.65%,86.57,14.49%,8.50%,Rs.500.0,Anand Radhakrishnan,206.55 cr,Hybrid,Moderately High
franklin templeton mutual fund,Templeton India Value-G,4,4,3.65%,759.29,40.79%,25.86%,Rs.500.0,Anand Radhakrishnan,2278.96 cr,Equity,Very High
franklin templeton mutual fund,Templeton India Equity Income-G,3,0,2.20%,148.07,49.28%,24.38%,Rs.500.0,Anand Radhakrishnan,2561.12 cr,Equity,High 
franklin templeton mutual fund,Franklin India Equity Savings Reg-G,2,2,1.34%,15.74,11.72%,7.85%,Rs.500.0,Anand Radhakrishnan,671.3 cr,Hybrid,Low to Moderate
franklin templeton mutual fund,Franklin India ELSS Tax Saver-G,3,4,5.70%,1521.92,42.29%,22.31%,Rs.500.0,Anand Radhakrishnan,7143.11 cr,Equity,Moderate 
franklin templeton mutual fund,Franklin India Bluechip-G,2,2,5.45%,1039.86,33.49%,14.18%,Rs.500.0,Anand Radhakrishnan,8234.6 cr,Equity,Very High
hdfc mutual fund,HDFC Short Term Debt-G,4,4,0.75%,29.97,8.01%,5.83%,Rs.100.0,Anil Bamboli,14105.2 cr,Debt,Moderate
hdfc mutual fund,HDFC Ultra Short Term Fund Reg-G,4,4,0.57%,14.29,7.27%,5.85%,Rs.100.0,Anil Bamboli,14543.31 cr,Debt,Low to Moderate
hdfc mutual fund,HDFC Arbitrage Wholesale-G,4,3,0.56%,29.06,7.74%,5.95%,Rs.100.0,Anil Bamboli,15819.35 cr,Hybrid,Low
hdfc mutual fund,HDFC Gilt-G,3,3,1.21%,52.35,9.15%,5.50%,Rs.100.0,Anil Bamboli,2645.04 cr,Debt,Moderate
hdfc mutual fund,HDFC Asset Allocator FoF Reg-G,0,4,3.25%,17.15,24.01%,15.56%,Rs.100.0,Anil Bamboli,3243.96 cr,Other,High
hdfc mutual fund,HDFC Multi Asset-G,5,3,3.04%,68.22,23.80%,13.31%,Rs.100.0,Anil Bamboli,3524.55 cr,Hybrid,High
hdfc mutual fund,HDFC Dynamic PE Ratio FoF Reg-G,1,5,3.09%,39.87,21.86%,15.25%,Rs.100.0,Anil Bamboli,48.54 cr,Other,High
hdfc mutual fund,HDFC Equity Savings-G,4,3,1.80%,64.28,17.19%,10.82%,Rs.100.0,Anil Bamboli,5051.75 cr,Hybrid,Moderately High
hdfc mutual fund,HDFC Banking and PSU Debt Reg-G,4,4,0.72%,21.56,7.55%,5.52%,Rs.100.0,Anil Bamboli,5919.26 cr,Debt,Moderate
hdfc mutual fund,HDFC Dynamic Debt-G,3,3,1.17%,85.12,9.04%,5.21%,Rs.100.0,Anil Bamboli,747.88 cr,Debt,Moderate
